SITE_ID,DATEON,DATEOFF,variable_SO2,variable_SO4,variable_HNO3,variable_NO3,variable_TNO3,variable_NH4,variable_CA,variable_K,variable_MG,variable_Sodium,days_on_to_off,valid_on_off,days_to_next,valid_interval,imputation_data
ABT147,2001-01-30,2001-02-06,9.935,2.3,2.12,0.818,2.905,0.934,0.046,0.032,0.017,0.203,7,True,7.0,True,False
ABT147,2001-02-06,2001-02-13,4.41,2.228,1.404,1.162,2.543,0.892,0.087,0.04,0.042,0.448,7,True,7.0,True,False
ABT147,2001-02-13,2001-02-20,8.776,3.37,2.655,1.06,3.673,1.227,0.096,0.064,0.039,0.346,7,True,7.0,True,False
ABT147,2001-02-20,2001-02-27,6.389,2.186,1.433,1.236,2.647,0.83,0.102,0.036,0.028,0.275,7,True,7.0,True,False
ABT147,2001-02-27,2001-03-06,7.113,2.795,2.689,0.843,3.489,1.025,0.071,0.039,0.032,0.39,7,True,7.0,True,False
ABT147,2001-03-06,2001-03-13,5.582,1.798,1.249,0.46,1.689,0.571,0.036,0.019,0.024,0.255,7,True,7.0,True,False
ABT147,2001-03-13,2001-03-20,5.166,1.875,2.132,0.442,2.541,0.7,0.085,0.024,0.02,0.098,7,True,7.0,True,False
ABT147,2001-03-20,2001-03-27,2.898,1.529,1.064,0.517,1.564,0.629,0.068,0.021,0.016,0.114,7,True,7.0,True,False
ABT147,2001-03-27,2001-04-03,4.171,2.378,1.756,0.563,2.291,0.818,0.07,0.025,0.021,0.139,7,True,7.0,True,False
ABT147,2001-04-03,2001-04-10,3.363,2.332,2.143,0.416,2.525,0.774,0.107,0.045,0.033,0.259,7,True,7.0,True,False
ABT147,2001-04-10,2001-04-17,1.63,1.589,1.481,0.183,1.641,0.58,0.082,0.026,0.021,0.063,7,True,7.0,True,False
ABT147,2001-04-17,2001-04-24,4.479,3.218,2.592,1.561,4.111,0.921,0.429,0.104,0.13,0.409,7,True,7.0,True,False
ABT147,2001-04-24,2001-05-01,3.639,2.188,2.226,0.776,2.967,0.869,0.29,0.058,0.059,0.137,7,True,7.0,True,False
ABT147,2001-05-01,2001-05-08,8.254,6.287,5.147,1.048,6.114,2.222,0.42,0.104,0.1,0.284,7,True,7.0,True,False
ABT147,2001-05-08,2001-05-15,3.965,3.672,2.421,1.12,3.503,1.302,0.252,0.063,0.079,0.362,7,True,7.0,True,False
ABT147,2001-05-15,2001-05-22,1.265,2.781,1.219,0.627,1.827,0.894,0.082,0.041,0.058,0.427,7,True,7.0,True,False
ABT147,2001-05-22,2001-05-29,1.513,2.647,0.891,0.386,1.263,0.727,0.051,0.04,0.048,0.397,7,True,7.0,True,False
ABT147,2001-05-29,2001-06-05,0.932,2.079,0.975,0.071,1.03,0.691,0.066,0.037,0.016,0.026,7,True,7.0,True,False
ABT147,2001-06-05,2001-06-12,1.301,2.215,1.263,0.355,1.599,0.822,0.137,0.043,0.026,0.036,7,True,7.0,True,False
ABT147,2001-06-12,2001-06-19,1.628,6.721,2.684,0.158,2.799,2.209,0.089,0.071,0.044,0.221,7,True,7.0,True,False
ABT147,2001-06-19,2001-06-26,2.456,4.508,2.612,0.227,2.798,1.198,0.078,0.066,0.063,0.41,7,True,7.0,True,False
ABT147,2001-06-26,2001-07-03,4.137,8.189,3.112,0.123,3.185,2.642,0.162,0.07,0.035,0.134,7,True,7.0,True,False
ABT147,2001-07-03,2001-07-10,1.246,4.174,1.882,0.25,2.103,1.344,0.088,0.068,0.036,0.253,7,True,7.0,True,False
ABT147,2001-07-10,2001-07-17,1.092,1.325,0.876,0.189,1.051,0.559,0.086,0.037,0.014,0.015,7,True,7.0,True,False
ABT147,2001-07-17,2001-07-24,3.441,3.303,2.551,0.547,3.057,1.282,0.081,0.044,0.032,0.179,7,True,7.0,True,False
ABT147,2001-07-24,2001-07-31,2.624,3.27,2.677,0.318,2.952,1.004,0.112,0.041,0.042,0.212,7,True,7.0,True,False
ABT147,2001-07-31,2001-08-07,4.692,9.769,5.755,0.115,5.778,3.215,0.143,0.07,0.052,0.31,7,True,7.0,True,False
ABT147,2001-08-07,2001-08-14,3.399,8.014,2.626,0.331,2.915,2.702,0.186,0.069,0.046,0.209,7,True,7.0,True,False
