SITE_ID,LATITUDE,LONGITUDE
NC35,35.0258,-78.2783
NC36,34.9705,-79.5281
NC41,35.7283,-78.6789
ND07,47.6014,-103.2642
ND08,48.782,-97.7546
ND11,47.1247,-99.2381
OH17,40.3555,-83.0661
OH49,39.7928,-81.5311
OH71,40.7813,-81.9197
OK00,36.7863,-98.18
OK17,34.98,-97.5214
OK29,36.5908,-101.6175
OR99,44.6264,-123.2139
OR97,44.6347,-123.19
OR98,45.4492,-122.1533
OR08,42.6678,-122.6831
OR09,43.119,-121.059
OR10,44.2118,-122.256
OR18,45.2247,-118.513
PA15,40.7883,-77.9458
PA29,41.5978,-78.7675
PA42,40.6575,-77.9397
PA72,41.3273,-74.8199
VI01,18.3362,-64.7962
SC06,33.5394,-80.435
SC18,34.6239,-82.7342
SD99,44.355,-98.2917
TN99,35.2847,-86.9033
TN98,35.1825,-87.1964
TN11,35.6645,-83.5903
TN14,35.4988,-89.2611
TX02,33.9557,-102.776
TX04,29.3025,-103.1781
TX10,29.6614,-96.2594
TX16,30.2613,-100.5551
TX18,33.9242,-100.0469
MN18,47.9464,-91.4961
NV00,36.1358,-115.4256
NY12,42.3783,-73.5028
NC03,36.1325,-77.1708
OR11,43.8994,-117.4269
SD08,43.9461,-101.8552
LA12,29.931,-91.7165
MA01,41.9759,-70.0241
MI09,45.5608,-84.6783
AR16,36.0842,-92.5868
ME02,44.1075,-70.7289
MI26,42.4103,-85.3928
NM07,35.7788,-106.266
NY98,44.3933,-73.8594
NC45,35.7353,-82.2861
OK25,34.5297,-95.3531
SD00,44.3842,-98.2206
TX03,28.4667,-97.7069
TX53,28.8453,-96.9203
WI98,43.7023,-90.5685
PQ05,50.2667,-64.2333
OR17,45.69,-118.8378
FL18,27.8933,-82.5383
MD15,37.9925,-76.0345
NY67,42.4014,-76.6589
CA97,39.8237,-123.2382
DE02,38.7722,-75.0992
FL04,26.1667,-80.5
ME96,43.8325,-70.0645
NB02,45.0833,-67.0833
NC08,34.2592,-78.4777
NC42,35.7373,-76.5149
NH05,43.1667,-70.8667
NM10,33.0625,-107.2917
AS01,-14.2525,-170.5633
NY97,42.6833,-79.0333
PA13,40.457,-78.56
PA90,41.8043,-77.1903
SC19,33.8145,-80.7809
WI08,46.7466,-91.6055
IL11,40.0528,-88.3719
OH09,39.5309,-84.7238
UT09,38.4584,-109.821
CAN1,49.6369,-112.7878
NH00,43.5,-71.5
FL34,26.6556,-80.3972
CAN2,43.9914,-80.7461
LA10,32.097,-91.711
LA28,30.5031,-90.3769
FL05,28.7486,-82.5551
GA09,30.7404,-82.1283
CO10,38.9561,-106.986
IL46,38.8689,-89.6219
MI51,43.6135,-83.3599
MI52,42.4164,-83.9019
PA00,39.9231,-77.3078
VA24,37.1652,-78.3073
WV05,38.8794,-80.8476
WI35,45.2064,-90.5978
AZ98,32.0097,-109.3889
NJ00,39.4728,-74.4369
CA45,39.0045,-123.086
CO02,40.0547,-105.5891
ID04,46.6278,-115.8194
ID11,43.2049,-116.75
ID15,44.2978,-116.0636
IL18,41.8414,-88.8511
IL19,41.7011,-87.9953
IL35,37.71,-89.2689
IL47,38.6433,-88.9669
IL63,37.4356,-88.6719
IL78,40.9153,-90.627
IN22,38.7408,-87.4855
IN34,41.6318,-87.0881
IN41,40.4749,-86.9924
IA08,42.9097,-91.47
IA23,40.9631,-93.3925
KS07,37.6511,-94.8036
KS32,38.6717,-100.9164
KY03,37.7047,-85.0489
KY22,37.0778,-82.9936
KY35,38.1183,-83.5469
KY38,36.7906,-88.0672
KY99,36.9029,-88.0121
LA06,32.7514,-93.0506
LA30,30.7819,-90.2021
ME99,44.4083,-68.2461
